t [s]	Ux [V]	Uy [V]
0,01	-1,390468	0,006354
0,02	-1,390468	0,006354
0,03	-1,391743	0,008906
0,04	-1,387919	0,006354
0,05	-1,390468	0,005078
0,06	-1,390468	0,002526
0,07	-1,387919	0,010181
0,08	-1,394292	0,006354
0,09	-1,390468	0,003802
6,97921	-1,387919	0,008906
6,98921	-1,395566	0,002526
6,99921	-1,387919	0,008906
7,00921	-1,387919	0,008906
7,01921	-1,389194	0,008906
7,02921	-1,386645	0,006354
7,03921	-1,391743	0,006354
7,04921	-1,387919	0,010181
7,05921	-1,387919	0,008906
7,06921	-1,391743	0,006354
7,090399	-1,390468	0,006354
7,100399	-1,386645	0,006354
7,110399	-1,394292	0,002526
7,120399	-1,394292	0,002526
7,130399	-1,390468	0,005078
7,140399	-1,387919	0,008906
7,150399	-1,389194	0,00763
7,160399	-1,390468	0,00763
7,170399	-1,393017	0,002526
7,180399	-1,390468	0,010181
7,210238	-1,394292	0,00763
7,220238	-1,390468	0,006354
7,230238	-1,386645	0,010181
7,240238	-1,391743	0,002526
7,250238	-1,391743	0,002526
7,260238	-1,391743	0,010181
7,270238	-1,389194	0,006354
7,280238	-1,387919	0,008906
7,290238	-1,391743	0,010181
7,300238	-1,391743	0,005078
7,323576	-1,387919	0,010181
7,333576	-1,387919	0,008906
7,343576	-1,387919	0,005078
7,353576	-1,391743	0,002526
7,363576	-1,391743	0,003802
7,373576	-1,390468	0,003802
7,383576	-1,390468	0,006354
7,393576	-1,390468	0,006354
7,403576	-1,393017	0,002526
7,413576	-1,386645	0,006354
7,435494	-1,391743	0,006354
7,445494	-1,391743	0,002526
7,455494	-1,390468	0,005078
7,465494	-1,386645	0,008906
7,475494	-1,387919	0,010181
7,485494	-1,387919	0,008906
7,495494	-1,391743	0,006354
7,505494	-1,391743	0,006354
7,515494	-1,394292	0,006354
7,525494	-1,394292	0,00763
7,539488	-1,390468	0,006354
7,549488	-1,391743	0,003802
7,559488	-1,391743	0,006354
7,569488	-1,390468	0,006354
7,579488	-1,394292	0,003802
7,589488	-1,390468	0,006354
7,599488	-1,390468	0,005078
7,609488	-1,387919	0,008906
7,619488	-1,390468	0,006354
7,629488	-1,391743	0,00763
7,65322	-1,387919	0,008906
7,66322	-1,391743	0,008906
7,67322	-1,391743	0,006354
7,68322	-1,386645	0,010181
7,69322	-1,389194	0,006354
7,70322	-1,387919	0,006354
7,71322	-1,390468	0,006354
7,72322	-1,390468	0,003802
7,73322	-1,390468	0,005078
7,74322	-1,393017	0,002526
7,763398	-1,390468	0,006354
7,773398	-1,390468	0,006354
7,783398	-1,390468	0,008906
7,793398	-1,386645	0,006354
7,803398	-1,390468	0,006354
7,813398	-1,393017	0,006354
7,823398	-1,390468	0,00763
7,833398	-1,391743	0,006354
7,843398	-1,390468	0,00763
7,853398	-1,391743	0,006354
7,8676	-1,390468	0,006354
7,8776	-1,390468	0,008906
7,8876	-1,390468	0,008906
7,8976	-1,387919	0,008906
7,9076	-1,387919	0,008906
7,9176	-1,391743	0,006354
7,9276	-1,394292	0,003802
7,9376	-1,390468	0,008906
7,9476	-1,394292	0,00763
7,9576	-1,394292	0,006354
7,979156	-1,391743	0,006354
7,989156	-1,394292	0,003802
7,999156	-1,394292	0,003802
8,009156	-1,390468	0,002526
8,019156	-1,394292	0,002526
8,029156	-1,391743	0,003802
8,039156	-1,390468	0,003802
8,049156	-1,390468	0,006354
8,059156	-1,391743	0,006354
8,069156	-1,386645	0,008906
8,087832	-1,394292	0,003802
8,097832	-1,386645	0,006354
8,107832	-1,390468	0,008906
8,117832	-1,387919	0,008906
8,127832	-1,389194	0,008906
8,137832	-1,390468	0,005078
8,147832	-1,391743	0,006354
8,157832	-1,391743	0,008906
8,167832	-1,390468	0,008906
8,177832	-1,393017	0,006354
8,209023	-1,391743	0,006354
8,219023	-1,394292	0,002526
8,229023	-1,395566	0,00763
8,239023	-1,386645	0,00763
8,249023	-1,390468	0,005078
8,259023	-1,393017	0,003802
8,269023	-1,390468	0,010181
8,279023	-1,387919	0,006354
8,289023	-1,386645	0,003802
8,299023	-1,394292	0,00763
8,322158	-1,387919	0,006354
8,332158	-1,390468	0,003802
8,342158	-1,394292	0,006354
8,352158	-1,393017	0,003802
8,362158	-1,387919	0,008906
8,372158	-1,387919	0,008906
8,382158	-1,387919	0,008906
8,392158	-1,391743	0,002526
8,402158	-1,390468	0,002526
8,412158	-1,390468	0,002526
8,434535	-1,393017	0,006354
8,444535	-1,390468	0,006354
8,454535	-1,393017	0,003802
8,464535	-1,390468	0,006354
8,474535	-1,387919	0,006354
8,484535	-1,395566	0,00763
