t [s]	Ux [V]	Uy [V]
4,392444	-1,381546	0,008906
4,402444	-1,384095	0,006354
4,412444	-1,384095	0,006354
4,422444	-1,387919	0,001251
4,432444	-1,381546	0,008906
4,442444	-1,384095	0,006354
4,452444	-1,384095	0,002526
4,462444	-1,381546	0,008906
4,472444	-1,38537	0,006354
4,492631	-1,382821	0,006354
4,502631	-1,381546	0,010181
4,512631	-1,384095	0,002526
4,522631	-1,381546	0,006354
4,532631	-1,384095	0,006354
4,542631	-1,381546	0,006354
4,552631	-1,384095	0,010181
4,562631	-1,38537	0,002526
4,572631	-1,381546	0,006354
4,582631	-1,384095	0,006354
4,606435	-1,38537	0,006354
4,616435	-1,38537	0,006354
4,626435	-1,384095	0,006354
4,636435	-1,382821	0,008906
4,646435	-1,389194	0,005078
4,656435	-1,381546	0,008906
4,666435	-1,38537	0,006354
4,676435	-1,38537	0,006354
4,686435	-1,384095	0,002526
4,696435	-1,384095	0,003802
4,725184	-1,387919	0,003802
4,735184	-1,387919	0,003802
4,745184	-1,38537	0,006354
4,755184	-1,38537	0,006354
4,765184	-1,387919	0,002526
4,775184	-1,386645	0,005078
4,785184	-1,387919	0,003802
4,795184	-1,381546	0,008906
4,805184	-1,38537	0,006354
4,815184	-1,38537	0,00763
4,84411	-1,38537	0,006354
4,85411	-1,381546	0,006354
4,86411	-1,38537	0,002526
4,87411	-1,387919	0,00763
4,88411	-1,381546	0,006354
4,89411	-1,387919	0,006354
4,90411	-1,384095	0,008906
4,91411	-1,382821	0,005078
4,92411	-1,384095	0,003802
4,93411	-1,384095	0,002526
4,947587	-1,384095	0,006354
4,957587	-1,381546	0,008906
4,967587	-1,387919	0,003802
4,977587	-1,387919	0,006354
4,987587	-1,381546	0,006354
4,997587	-1,384095	0,005078
5,007587	-1,387919	0,003802
5,017587	-1,38537	0,006354
5,027587	-1,387919	0,002526
5,037587	-1,381546	0,008906
5,058927	-1,384095	0,006354
5,068927	-1,381546	0,006354
5,078927	-1,386645	0,00763
5,088927	-1,381546	0,010181
5,098927	-1,38537	0,006354
5,108927	-1,381546	0,010181
5,118927	-1,389194	0,005078
5,128927	-1,38537	0,006354
5,138927	-1,384095	0,008906
5,148927	-1,387919	0,006354
5,171508	-1,381546	0,006354
5,181508	-1,38537	0,006354
5,191508	-1,387919	0,006354
5,201508	-1,38537	0,008906
5,211508	-1,386645	0,006354
5,221508	-1,384095	0,006354
5,231508	-1,381546	0,008906
5,241508	-1,38537	0,003802
5,251508	-1,381546	0,006354
5,261508	-1,387919	0,005078
5,285153	-1,386645	0,002526
5,295153	-1,381546	0,006354
5,305153	-1,387919	0,006354
5,315153	-1,381546	0,010181
5,325153	-1,389194	0,001251
5,335153	-1,38537	0,006354
5,345153	-1,381546	0,005078
5,355153	-1,387919	0,003802
5,365153	-1,38537	0,008906
5,375153	-1,386645	0,006354
5,405107	-1,387919	0,003802
5,415107	-1,384095	0,008906
5,425107	-1,387919	0,005078
5,435107	-1,38537	0,006354
5,445107	-1,384095	0,006354
5,455107	-1,38537	0,006354
5,465107	-1,38537	0,008906
5,475107	-1,389194	0,006354
5,485107	-1,384095	0,00763
5,495107	-1,384095	0,006354
5,513122	-1,38537	0,005078
5,523122	-1,387919	0,003802
5,533122	-1,38537	0,006354
5,543122	-1,38537	0,006354
5,553122	-1,381546	0,00763
5,563122	-1,384095	0,006354
5,573122	-1,38537	0,006354
5,583122	-1,381546	0,008906
5,593122	-1,389194	0,006354
5,603122	-1,381546	0,010181
5,629021	-1,382821	0,008906
5,639021	-1,387919	0,002526
5,649021	-1,384095	0,00763
5,659021	-1,384095	0,006354
5,669021	-1,387919	0,008906
5,679021	-1,382821	0,006354
5,689021	-1,384095	0,003802
5,699021	-1,38537	0,006354
5,709021	-1,38537	0,010181
5,719021	-1,384095	0,006354
5,735484	-1,387919	0,002526
5,745484	-1,387919	0,00763
5,755484	-1,381546	0,006354
5,765484	-1,384095	0,006354
5,775484	-1,386645	0,003802
5,785484	-1,381546	0,008906
5,795484	-1,387919	0,003802
5,805484	-1,384095	0,006354
5,815484	-1,384095	0,005078
5,825484	-1,389194	0,001251
5,840127	-1,382821	0,006354
5,850127	-1,384095	0,006354
5,860127	-1,382821	0,006354
5,870127	-1,384095	0,006354
5,880127	-1,381546	0,006354
5,890127	-1,384095	0,003802
5,900127	-1,387919	0,005078
5,910127	-1,381546	0,008906
5,920127	-1,387919	0,010181
5,930127	-1,387919	0,002526
5,94573	-1,381546	0,006354
5,95573	-1,387919	0,005078
5,96573	-1,381546	0,006354
5,97573	-1,384095	0,003802
5,98573	-1,384095	0,006354
5,99573	-1,38537	0,005078
6,00573	-1,387919	0,003802
6,01573	-1,384095	0,010181
6,02573	-1,387919	0,003802
6,03573	-1,381546	0,008906
6,058813	-1,384095	0,006354
6,068813	-1,384095	0,006354
